day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-01-01,E10,1.99,1807,0,1733,54,0,51
2025-01-01,Gazole,2.25,1876,0,1876,52,0,52
2025-01-01,SP98,1.99,1759,65,1571,53,2,48
2025-01-02,E10,1.99,3563,0,3489,71,0,68
2025-01-02,Gazole,2.25,3964,0,3964,73,0,73
2025-01-02,SP98,1.99,3370,68,3125,68,2,62
2025-01-03,E10,1.99,4979,0,4898,88,0,85
2025-01-03,Gazole,2.25,5849,0,5849,92,0,92
2025-01-03,SP98,1.99,4814,108,4464,85,2,75
2025-01-04,E10,1.99,5347,0,5264,90,0,87
2025-01-04,Gazole,2.25,6361,0,6361,95,0,95
2025-01-04,SP98,1.99,5209,116,4826,87,2,77
2025-01-05,E10,1.99,5381,0,5298,90,0,87
2025-01-05,Gazole,2.25,6410,0,6410,95,0,95
2025-01-05,SP98,1.99,5249,116,4865,87,2,77
2025-01-06,E10,1.99,6050,0,5969,104,0,101
2025-01-06,Gazole,2.25,7299,0,7299,110,0,110
2025-01-06,SP98,1.99,6012,121,5610,101,2,90
2025-01-07,E10,1.99,6488,1,6404,107,0,103
2025-01-07,Gazole,2.25,7882,0,7882,114,0,114
2025-01-07,SP98,1.99,6515,157,6049,103,2,92
2025-01-08,E10,1.99,6668,3,6581,108,0,104
2025-01-08,Gazole,2.25,8160,0,8160,114,0,114
2025-01-08,SP98,1.99,6750,163,6272,104,2,93
2025-01-09,E10,1.99,6790,3,6701,108,0,104
2025-01-09,Gazole,2.25,8353,0,8353,116,0,116
2025-01-09,SP98,1.99,6921,167,6438,105,2,94
2025-01-10,E10,1.99,6895,2,6802,109,0,105
2025-01-10,Gazole,2.25,8556,0,8556,117,0,117
2025-01-10,SP98,1.99,7102,167,6615,106,2,94
2025-01-11,E10,1.99,6944,2,6848,109,0,105
2025-01-11,Gazole,2.25,8694,0,8694,117,0,117
2025-01-11,SP98,1.99,7217,175,6708,106,2,93
2025-01-12,E10,1.99,6948,2,6851,109,0,105
2025-01-12,Gazole,2.25,8702,0,8702,117,0,117
2025-01-12,SP98,1.99,7223,176,6711,106,2,93
2025-01-13,E10,1.99,7005,3,6909,110,0,106
2025-01-13,Gazole,2.25,8805,0,8805,118,0,118
2025-01-13,SP98,1.99,7330,180,6812,107,2,94
2025-01-14,E10,1.99,7080,4,6982,110,0,106
2025-01-14,Gazole,2.25,8921,0,8921,118,0,118
2025-01-14,SP98,1.99,7436,197,6875,107,2,94
2025-01-15,E10,1.99,7121,12,7010,110,0,106
2025-01-15,Gazole,2.25,8999,0,8999,119,0,119
2025-01-15,SP98,1.99,7508,216,6913,107,2,94
2025-01-16,E10,1.99,7164,17,7045,110,0,105
2025-01-16,Gazole,2.25,9076,0,9075,119,0,119
2025-01-16,SP98,1.99,7583,240,6947,107,2,94
2025-01-17,E10,1.99,7194,23,7064,110,0,105
2025-01-17,Gazole,2.25,9127,0,9126,119,0,119
2025-01-17,SP98,1.99,7636,271,6942,108,2,94
2025-01-18,E10,1.99,7203,27,7065,110,2,103
2025-01-18,Gazole,2.25,9143,0,9142,119,0,119
2025-01-18,SP98,1.99,7656,284,6948,108,2,94
2025-01-19,E10,1.99,7206,27,7068,110,2,103
2025-01-19,Gazole,2.25,9149,0,9148,119,0,119
2025-01-19,SP98,1.99,7661,283,6952,108,2,94
2025-01-20,E10,1.99,7226,27,7088,110,2,103
2025-01-20,Gazole,2.25,9190,0,9189,119,0,119
2025-01-20,SP98,1.99,7695,293,6971,108,2,93
2025-01-21,E10,1.99,7243,27,7104,110,2,103
2025-01-21,Gazole,2.25,9225,0,9224,119,0,119
2025-01-21,SP98,1.99,7724,318,6966,108,2,93
2025-01-22,E10,1.99,7252,25,7114,110,0,105
2025-01-22,Gazole,2.25,9242,0,9241,119,0,119
2025-01-22,SP98,1.99,7739,323,6978,108,2,93
2025-01-23,E10,1.99,7261,25,7124,110,0,105
2025-01-23,Gazole,2.25,9255,0,9254,119,0,119
2025-01-23,SP98,1.99,7751,310,7003,108,2,93
2025-01-24,E10,1.99,7270,24,7133,110,0,105
2025-01-24,Gazole,2.25,9272,0,9271,119,0,119
2025-01-24,SP98,1.99,7767,307,7021,108,2,93
2025-01-25,E10,1.99,7272,14,7146,110,0,105
2025-01-25,Gazole,2.25,9274,0,9273,119,0,119
2025-01-25,SP98,1.99,7769,287,7045,108,2,93
2025-01-26,E10,1.99,7272,14,7146,110,0,105
2025-01-26,Gazole,2.25,9275,0,9274,119,0,119
2025-01-26,SP98,1.99,7769,287,7045,108,2,93
2025-01-27,E10,1.99,7275,14,7153,110,0,105
2025-01-27,Gazole,2.25,9281,0,9280,119,0,119
2025-01-27,SP98,1.99,7773,283,7052,108,2,94
2025-01-28,E10,1.99,7283,14,7165,110,0,105
2025-01-28,Gazole,2.25,9291,0,9290,119,0,119
2025-01-28,SP98,1.99,7786,264,7103,108,2,95
2025-01-29,E10,1.99,7286,14,7169,110,0,105
2025-01-29,Gazole,2.25,9299,0,9298,119,0,119
2025-01-29,SP98,1.99,7790,249,7129,108,2,95
2025-01-30,E10,1.99,7291,6,7186,110,0,106
2025-01-30,Gazole,2.25,9307,0,9306,119,0,119
2025-01-30,SP98,1.99,7796,233,7157,108,2,95
2025-01-31,E10,1.99,7293,6,7189,110,0,106
2025-01-31,Gazole,2.25,9313,0,9312,119,0,119
2025-01-31,SP98,1.99,7803,231,7161,108,2,95
2025-02-01,E10,1.99,7294,6,7190,110,0,106
2025-02-01,Gazole,2.25,9315,0,9314,119,0,119
2025-02-01,SP98,1.99,7807,229,7168,108,2,95
2025-02-02,E10,1.99,7294,6,7190,110,0,106
2025-02-02,Gazole,2.25,9315,0,9314,119,0,119
2025-02-02,SP98,1.99,7807,229,7168,108,2,95
2025-02-03,E10,1.99,7296,6,7194,110,0,106
2025-02-03,Gazole,2.25,9323,0,9322,119,0,119
2025-02-03,SP98,1.99,7809,230,7171,108,2,95
2025-02-04,E10,1.99,7297,11,7182,110,0,106
2025-02-04,Gazole,2.25,9325,0,9324,119,0,119
2025-02-04,SP98,1.99,7813,234,7173,108,2,96
2025-02-05,E10,1.99,7299,11,7183,110,0,106
