day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-01-01,E10,1.99,1807,0,1733,150,0,148
2025-01-01,Gazole,2.25,1876,0,1876,151,0,151
2025-01-01,SP98,1.99,1759,65,1571,150,1,133
2025-01-02,E10,1.99,3563,0,3489,182,0,181
2025-01-02,Gazole,2.25,3964,0,3964,182,0,182
2025-01-02,SP98,1.99,3370,68,3125,181,1,155
2025-01-03,E10,1.99,4979,0,4898,218,0,216
2025-01-03,Gazole,2.25,5849,0,5849,219,0,219
2025-01-03,SP98,1.99,4814,108,4464,217,34,145
2025-01-04,E10,1.99,5347,0,5264,225,0,223
2025-01-04,Gazole,2.25,6361,0,6361,227,0,227
2025-01-04,SP98,1.99,5209,116,4826,223,37,143
2025-01-05,E10,1.99,5381,0,5298,225,0,223
2025-01-05,Gazole,2.25,6410,0,6410,227,0,227
2025-01-05,SP98,1.99,5249,116,4865,223,37,143
2025-01-06,E10,1.99,6050,0,5969,229,0,227
2025-01-06,Gazole,2.25,7299,0,7299,234,0,234
2025-01-06,SP98,1.99,6012,121,5610,230,37,150
2025-01-07,E10,1.99,6488,1,6404,230,0,228
2025-01-07,Gazole,2.25,7882,0,7882,237,0,237
2025-01-07,SP98,1.99,6515,157,6049,232,56,129
2025-01-08,E10,1.99,6668,3,6581,231,1,229
2025-01-08,Gazole,2.25,8160,0,8160,239,0,239
2025-01-08,SP98,1.99,6750,163,6272,233,56,131
2025-01-09,E10,1.99,6790,3,6701,233,1,231
2025-01-09,Gazole,2.25,8353,0,8353,239,0,239
2025-01-09,SP98,1.99,6921,167,6438,233,56,130
2025-01-10,E10,1.99,6895,2,6802,233,0,231
2025-01-10,Gazole,2.25,8556,0,8556,239,0,239
2025-01-10,SP98,1.99,7102,167,6615,233,54,132
2025-01-11,E10,1.99,6944,2,6848,239,0,237
2025-01-11,Gazole,2.25,8694,0,8694,246,0,246
2025-01-11,SP98,1.99,7217,175,6708,240,56,129
2025-01-12,E10,1.99,6948,2,6851,239,0,237
2025-01-12,Gazole,2.25,8702,0,8702,246,0,246
2025-01-12,SP98,1.99,7223,176,6711,240,56,128
2025-01-13,E10,1.99,7005,3,6909,241,0,239
2025-01-13,Gazole,2.25,8805,0,8805,247,0,247
2025-01-13,SP98,1.99,7330,180,6812,241,58,127
2025-01-14,E10,1.99,7080,4,6982,245,0,243
2025-01-14,Gazole,2.25,8921,0,8921,252,0,252
2025-01-14,SP98,1.99,7436,197,6875,246,59,125
2025-01-15,E10,1.99,7121,12,7010,245,0,243
2025-01-15,Gazole,2.25,8999,0,8999,253,0,253
2025-01-15,SP98,1.99,7508,216,6913,247,62,120
2025-01-16,E10,1.99,7164,17,7045,245,0,243
2025-01-16,Gazole,2.25,9076,0,9075,254,0,253
2025-01-16,SP98,1.99,7583,240,6947,248,62,118
2025-01-17,E10,1.99,7194,23,7064,245,0,243
2025-01-17,Gazole,2.25,9127,0,9126,254,0,253
2025-01-17,SP98,1.99,7636,271,6942,248,63,115
2025-01-18,E10,1.99,7203,27,7065,245,0,242
2025-01-18,Gazole,2.25,9143,0,9142,254,0,253
2025-01-18,SP98,1.99,7656,284,6948,248,64,115
2025-01-19,E10,1.99,7206,27,7068,245,0,242
2025-01-19,Gazole,2.25,9149,0,9148,254,0,253
2025-01-19,SP98,1.99,7661,283,6952,248,64,115
2025-01-20,E10,1.99,7226,27,7088,245,0,242
2025-01-20,Gazole,2.25,9190,0,9189,255,0,254
2025-01-20,SP98,1.99,7695,293,6971,248,63,114
2025-01-21,E10,1.99,7243,27,7104,245,0,242
2025-01-21,Gazole,2.25,9225,0,9224,255,0,254
2025-01-21,SP98,1.99,7724,318,6966,248,63,114
2025-01-22,E10,1.99,7252,25,7114,246,0,243
2025-01-22,Gazole,2.25,9242,0,9241,255,0,254
2025-01-22,SP98,1.99,7739,323,6978,248,63,115
2025-01-23,E10,1.99,7261,25,7124,246,0,244
2025-01-23,Gazole,2.25,9255,0,9254,255,0,254
2025-01-23,SP98,1.99,7751,310,7003,248,63,115
2025-01-24,E10,1.99,7270,24,7133,246,0,244
2025-01-24,Gazole,2.25,9272,0,9271,255,0,254
2025-01-24,SP98,1.99,7767,307,7021,248,63,116
2025-01-25,E10,1.99,7272,14,7146,246,0,244
2025-01-25,Gazole,2.25,9274,0,9273,255,0,254
2025-01-25,SP98,1.99,7769,287,7045,248,63,116
2025-01-26,E10,1.99,7272,14,7146,246,0,244
2025-01-26,Gazole,2.25,9275,0,9274,255,0,254
2025-01-26,SP98,1.99,7769,287,7045,248,63,116
2025-01-27,E10,1.99,7275,14,7153,246,0,244
2025-01-27,Gazole,2.25,9281,0,9280,255,0,254
2025-01-27,SP98,1.99,7773,283,7052,248,63,116
2025-01-28,E10,1.99,7283,14,7165,246,0,244
2025-01-28,Gazole,2.25,9291,0,9290,255,0,254
2025-01-28,SP98,1.99,7786,264,7103,248,61,118
2025-01-29,E10,1.99,7286,14,7169,246,0,244
2025-01-29,Gazole,2.25,9299,0,9298,255,0,254
2025-01-29,SP98,1.99,7790,249,7129,248,61,121
2025-01-30,E10,1.99,7291,6,7186,246,0,244
2025-01-30,Gazole,2.25,9307,0,9306,255,0,254
2025-01-30,SP98,1.99,7796,233,7157,248,59,127
2025-01-31,E10,1.99,7293,6,7189,246,0,244
2025-01-31,Gazole,2.25,9313,0,9312,255,0,254
2025-01-31,SP98,1.99,7803,231,7161,248,58,127
2025-02-01,E10,1.99,7294,6,7190,246,0,244
2025-02-01,Gazole,2.25,9315,0,9314,255,0,254
2025-02-01,SP98,1.99,7807,229,7168,248,59,126
2025-02-02,E10,1.99,7294,6,7190,246,0,244
2025-02-02,Gazole,2.25,9315,0,9314,255,0,254
2025-02-02,SP98,1.99,7807,229,7168,248,59,126
2025-02-03,E10,1.99,7296,6,7194,246,0,244
2025-02-03,Gazole,2.25,9323,0,9322,255,0,254
2025-02-03,SP98,1.99,7809,230,7171,248,59,126
2025-02-04,E10,1.99,7297,11,7182,246,0,244
2025-02-04,Gazole,2.25,9325,0,9324,255,0,254
2025-02-04,SP98,1.99,7813,234,7173,249,61,123
2025-02-05,E10,1.99,7299,11,7183,246,0,244
2025-02-05,Gazole,2.25,9331,0,9330,255,0,254
2025-02-05,SP98,1.99,7818,236,7177,250,61,123
2025-02-06,E10,1.99,7302,11,7188,246,0,244
2025-02-06,Gazole,2.25,9335,0,9334,255,0,254
2025-02-06,SP98,1.99,7823,234,7176,250,61,123
2025-02-07,E10,1.99,7302,11,7185,246,0,244
2025-02-07,Gazole,2.25,9335,0,9334,255,0,254
2025-02-07,SP98,1.99,7824,231,7189,250,61,123
2025-02-08,E10,1.99,7303,9,7189,246,0,244
2025-02-08,Gazole,2.25,9337,0,9336,255,0,254
2025-02-08,SP98,1.99,7826,230,7191,250,59,125
2025-02-09,E10,1.99,7303,9,7188,246,0,244
2025-02-09,Gazole,2.25,9337,0,9336,255,0,254
2025-02-09,SP98,1.99,7826,230,7191,250,59,125
2025-02-10,E10,1.99,7306,9,7190,246,0,244
2025-02-10,Gazole,2.25,9343,0,9342,255,0,254
2025-02-10,SP98,1.99,7831,231,7192,250,59,124
2025-02-11,E10,1.99,7310,9,7193,246,0,244
2025-02-11,Gazole,2.25,9347,0,9346,255,0,254
2025-02-11,SP98,1.99,7835,240,7177,250,61,120
2025-02-12,E10,1.99,7313,14,7191,246,0,244
2025-02-12,Gazole,2.25,9351,0,9350,255,0,254
2025-02-12,SP98,1.99,7841,265,7146,250,61,120
2025-02-13,E10,1.99,7315,22,7186,246,0,244
2025-02-13,Gazole,2.25,9352,0,9351,255,0,254
2025-02-13,SP98,1.99,7843,272,7149,250,61,119
2025-02-14,E10,1.99,7317,13,7191,246,0,244
2025-02-14,Gazole,2.25,9358,0,9357,255,0,254
2025-02-14,SP98,1.99,7846,249,7172,250,61,117
2025-02-15,E10,1.99,7319,6,7199,246,0,244
2025-02-15,Gazole,2.25,9360,0,9359,255,0,254
2025-02-15,SP98,1.99,7847,245,7183,250,61,118
2025-02-16,E10,1.99,7319,6,7199,246,0,244
2025-02-16,Gazole,2.25,9361,0,9360,255,0,254
2025-02-16,SP98,1.99,7848,243,7188,250,61,119
2025-02-17,E10,1.99,7320,6,7206,246,0,244
2025-02-17,Gazole,2.25,9361,0,9360,255,0,254
2025-02-17,SP98,1.99,7849,238,7197,250,61,119
2025-02-18,E10,1.99,7325,3,7218,246,0,244
2025-02-18,Gazole,2.25,9364,0,9363,255,0,254
2025-02-18,SP98,1.99,7851,222,7225,250,58,126
2025-02-19,E10,1.99,7327,2,7225,246,0,244
2025-02-19,Gazole,2.25,9366,0,9365,255,0,254
2025-02-19,SP98,1.99,7853,213,7236,250,54,131
2025-02-20,E10,1.99,7331,2,7229,246,0,244
2025-02-20,Gazole,2.25,9373,0,9371,255,0,254
2025-02-20,SP98,1.99,7860,211,7249,250,54,131
2025-02-21,E10,1.99,7333,2,7221,246,0,244
2025-02-21,Gazole,2.25,9375,0,9373,255,0,254
2025-02-21,SP98,1.99,7860,211,7251,250,54,131
2025-02-22,E10,1.99,7333,1,7225,246,0,244
2025-02-22,Gazole,2.25,9375,0,9373,255,0,254
2025-02-22,SP98,1.99,7861,213,7251,250,55,130
2025-02-23,E10,1.99,7333,1,7225,246,0,244
2025-02-23,Gazole,2.25,9374,0,9372,255,0,254
2025-02-23,SP98,1.99,7861,213,7252,250,55,130
2025-02-24,E10,1.99,7337,1,7236,246,0,244
2025-02-24,Gazole,2.25,9377,0,9375,256,0,255
2025-02-24,SP98,1.99,7864,212,7257,250,55,132
2025-02-25,E10,1.99,7340,1,7247,246,0,244
2025-02-25,Gazole,2.25,9379,0,9377,256,0,255
2025-02-25,SP98,1.99,7866,187,7296,250,46,144
2025-02-26,E10,1.99,7341,1,7252,246,0,245
2025-02-26,Gazole,2.25,9381,0,9379,256,0,255
2025-02-26,SP98,1.99,7869,176,7312,250,39,154
2025-02-27,E10,1.99,7345,0,7261,246,0,245
2025-02-27,Gazole,2.25,9386,0,9384,256,0,255
2025-02-27,SP98,1.99,7873,157,7354,250,28,169
2025-02-28,E10,1.99,7346,0,7249,247,0,245
2025-02-28,Gazole,2.25,9388,0,9386,257,0,256
2025-02-28,SP98,1.99,7877,145,7386,251,23,178
2025-03-01,E10,1.99,7346,0,7249,247,0,245
2025-03-01,Gazole,2.25,9388,0,9386,257,0,256
2025-03-01,SP98,1.99,7878,128,7408,251,10,193
