day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-01-01,E10,1.99,1807,0,1733,27,0,27
2025-01-01,Gazole,2.25,1876,0,1876,27,0,27
2025-01-01,SP98,1.99,1759,65,1571,25,0,25
2025-01-02,E10,1.99,3563,0,3489,47,0,47
2025-01-02,Gazole,2.25,3964,0,3964,49,0,49
2025-01-02,SP98,1.99,3370,68,3125,42,0,42
2025-01-03,E10,1.99,4979,0,4898,52,0,52
2025-01-03,Gazole,2.25,5849,0,5849,57,0,57
2025-01-03,SP98,1.99,4814,108,4464,46,0,46
2025-01-04,E10,1.99,5347,0,5264,53,0,53
2025-01-04,Gazole,2.25,6361,0,6361,59,0,59
2025-01-04,SP98,1.99,5209,116,4826,48,0,48
2025-01-05,E10,1.99,5381,0,5298,53,0,53
2025-01-05,Gazole,2.25,6410,0,6410,59,0,59
2025-01-05,SP98,1.99,5249,116,4865,48,0,48
2025-01-06,E10,1.99,6050,0,5969,58,0,58
2025-01-06,Gazole,2.25,7299,0,7299,65,0,65
2025-01-06,SP98,1.99,6012,121,5610,55,0,55
2025-01-07,E10,1.99,6488,1,6404,61,0,61
2025-01-07,Gazole,2.25,7882,0,7882,68,0,68
2025-01-07,SP98,1.99,6515,157,6049,59,0,59
2025-01-08,E10,1.99,6668,3,6581,62,0,62
2025-01-08,Gazole,2.25,8160,0,8160,69,0,69
2025-01-08,SP98,1.99,6750,163,6272,61,0,61
2025-01-09,E10,1.99,6790,3,6701,63,0,63
2025-01-09,Gazole,2.25,8353,0,8353,70,0,70
2025-01-09,SP98,1.99,6921,167,6438,62,0,62
2025-01-10,E10,1.99,6895,2,6802,64,0,64
2025-01-10,Gazole,2.25,8556,0,8556,71,0,71
2025-01-10,SP98,1.99,7102,167,6615,62,0,62
2025-01-11,E10,1.99,6944,2,6848,65,0,65
2025-01-11,Gazole,2.25,8694,0,8694,72,0,72
2025-01-11,SP98,1.99,7217,175,6708,63,0,63
2025-01-12,E10,1.99,6948,2,6851,65,0,65
2025-01-12,Gazole,2.25,8702,0,8702,72,0,72
